indice,x_cm,y_cm,theta1,theta2,alcanzable,configuracion,unidad_angulos
1623,2.5241,-6.2598,20.0243,-98.0421,true,abajo,grados
1624,2.5356,-6.232,20.1141,-98.0334,true,abajo,grados
1625,2.5474,-6.2051,20.2001,-98.0213,true,abajo,grados
1626,2.5595,-6.1793,20.2822,-98.0055,true,abajo,grados
1627,2.5719,-6.1544,20.3605,-97.9862,true,abajo,grados
1628,2.5846,-6.1306,20.4348,-97.9631,true,abajo,grados
1629,2.5976,-6.1077,20.5052,-97.9363,true,abajo,grados
1630,2.611,-6.0859,20.5716,-97.9056,true,abajo,grados
1631,2.6246,-6.0652,20.6339,-97.871,true,abajo,grados
1632,2.6387,-6.0455,20.6922,-97.8323,true,abajo,grados
1633,2.6531,-6.0268,20.7463,-97.7896,true,abajo,grados
1634,2.6679,-6.0092,20.7963,-97.7428,true,abajo,grados
1635,2.6831,-5.9926,20.8422,-97.6917,true,abajo,grados
1636,2.6988,-5.9771,20.8838,-97.6364,true,abajo,grados
1637,2.7148,-5.9626,20.9213,-97.5768,true,abajo,grados
1638,2.7313,-5.9492,20.9546,-97.5128,true,abajo,grados
1639,2.7483,-5.9369,20.9837,-97.4444,true,abajo,grados
1640,2.7657,-5.9256,21.0085,-97.3715,true,abajo,grados
1641,2.7836,-5.9154,21.0291,-97.2941,true,abajo,grados
1642,2.8019,-5.9062,21.0455,-97.212,true,abajo,grados
1643,2.8208,-5.898,21.0577,-97.1254,true,abajo,grados
1644,2.8402,-5.8909,21.0657,-97.0341,true,abajo,grados
1645,2.8601,-5.8849,21.0695,-96.9381,true,abajo,grados
1646,2.8805,-5.8798,21.0691,-96.8373,true,abajo,grados
1647,2.9014,-5.8758,21.0645,-96.7318,true,abajo,grados
1648,2.9229,-5.8728,21.0558,-96.6215,true,abajo,grados
1649,2.945,-5.8708,21.043,-96.5063,true,abajo,grados
1650,2.9676,-5.8697,21.0261,-96.3863,true,abajo,grados
1651,2.9907,-5.8697,21.0051,-96.2613,true,abajo,grados
1652,3.0145,-5.8706,20.9802,-96.1315,true,abajo,grados
1653,3.0388,-5.8724,20.9512,-95.9968,true,abajo,grados
1654,3.0637,-5.8752,20.9183,-95.8571,true,abajo,grados
1655,3.0891,-5.8789,20.8815,-95.7125,true,abajo,grados
1656,3.1152,-5.8835,20.8409,-95.563,true,abajo,grados
1657,3.1418,-5.889,20.7964,-95.4085,true,abajo,grados
1658,3.169,-5.8954,20.7483,-95.249,true,abajo,grados
1659,3.1969,-5.9026,20.6964,-95.0846,true,abajo,grados
1660,3.2253,-5.9107,20.6409,-94.9153,true,abajo,grados
1661,3.2543,-5.9196,20.5818,-94.741,true,abajo,grados
1662,3.2839,-5.9293,20.5192,-94.5618,true,abajo,grados
1663,3.3142,-5.9397,20.4531,-94.3777,true,abajo,grados
1664,3.345,-5.9509,20.3837,-94.1888,true,abajo,grados
1665,3.3764,-5.9629,20.311,-93.995,true,abajo,grados
1666,3.4084,-5.9755,20.235,-93.7964,true,abajo,grados
1667,3.441,-5.9889,20.1559,-93.5929,true,abajo,grados
1668,3.4741,-6.0029,20.0737,-93.3848,true,abajo,grados
1669,3.5079,-6.0175,19.9885,-93.1719,true,abajo,grados
1670,3.5422,-6.0328,19.9004,-92.9543,true,abajo,grados
1671,3.5771,-6.0486,19.8095,-92.7321,true,abajo,grados
1672,3.6126,-6.065,19.7158,-92.5054,true,abajo,grados
1673,3.6486,-6.082,19.6194,-92.2741,true,abajo,grados
1674,3.6852,-6.0995,19.5204,-92.0384,true,abajo,grados
1675,3.7224,-6.1174,19.4189,-91.7983,true,abajo,grados
1676,3.76,-6.1358,19.3151,-91.5538,true,abajo,grados
1677,3.7982,-6.1547,19.2089,-91.3051,true,abajo,grados
1678,3.837,-6.1739,19.1005,-91.0522,true,abajo,grados
