t,tau1,tau2,theta1,theta2,dtheta1,dtheta2,ddtheta1,ddtheta2
1.5815815815815817,0.5828488815150393,0.10893487949670308,0.9999418397033719,-0.010785045694668467,-0.010785045694668467,-0.9999418397033719,-0.9999418397033719,0.010785045694668467
1.5915915915915917,0.585061013180918,0.1108518637473738,0.9997837862728629,-0.020793766034521242,-0.020793766034521242,-0.9997837862728629,-0.9997837862728629,0.020793766034521242
1.6016016016016017,0.5873672315831726,0.11277588547200884,0.9995255550431251,-0.030800402850168468,-0.030800402850168468,-0.9995255550431251,-0.9995255550431251,0.030800402850168468
1.6116116116116117,0.5897666040733975,0.11470613240798179,0.9991671718887893,-0.04080395348196749,-0.04080395348196749,-0.9991671718887893,-0.9991671718887893,0.04080395348196749
1.6216216216216217,0.5922581591401744,0.11664178167380873,0.9987086727196554,-0.05080341557950963,-0.05080341557950963,-0.9987086727196554,-0.9987086727196554,0.05080341557950963
1.6316316316316317,0.594840886828004,0.1185820001404981,0.9981501034770941,-0.060797787202055135,-0.060797787202055135,-0.9981501034770941,-0.9981501034770941,0.060797787202055135
1.6416416416416417,0.5975137391765116,0.12052594482054815,0.9974915201294441,-0.07078606691892712,-0.07078606691892712,-0.9974915201294441,-0.9974915201294441,0.07078606691892712
1.6516516516516517,0.6002756306797662,0.1224727632744393,0.9967329886664036,-0.08076725390985441,-0.08076725390985441,-0.9967329886664036,-0.9967329886664036,0.08076725390985441
1.6616616616616617,0.6031254387655276,0.1244215940344386,0.9958745850924186,-0.09074034806525312,-0.09074034806525312,-0.9958745850924186,-0.9958745850924186,0.09074034806525312
1.6716716716716717,0.6060620042942189,0.1263715670455038,0.9949163954190665,-0.10070435008643717,-0.10070435008643717,-0.9949163954190665,-0.9949163954190665,0.10070435008643717
1.6816816816816818,0.6090841320773932,0.12832180412304453,0.993858515656439,-0.11065826158574746,-0.11065826158574746,-0.993858515656439,-0.993858515656439,0.11065826158574746
1.6916916916916918,0.6121905914154502,0.1302714194272687,0.992701051803521,-0.12060108518658975,-0.12060108518658975,-0.992701051803521,-0.992701051803521,0.12060108518658975
